Country,"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),GDP growth (annual %),GDP (current US$),Statistical performance indicators (SPI): Overall score (scale 0-100),"Annual freshwater withdrawals, total (% of internal resources)","Unemployment, total (% of total labor force) (modeled ILO estimate)",People using safely managed sanitation services (% of population),Population growth (annual %),Forest area (% of land area),Proportion of seats held by women in national parliaments (%),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Inflation, consumer prices (annual %)",Access to electricity (% of population),Human Capital Index (HCI) (scale 0-1),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),"Personal remittances, received (% of GDP)","Life expectancy at birth, total (years)",CO2 emissions (metric tons per capita),Net migration,"Central government debt, total (% of GDP)",Individuals using the Internet (% of population),"Intentional homicides (per 100,000 people)"
India,1.43,12.9,7.6,3.55,74.2,45,4.2,52,0.8,24.4,15,5.4,5.6,99.2,0.5,1.5,"2,484.8",3.5,68,1.6,"-486,136",46.5,46,3
Indonesia,"277,534,122",1.9,5.0,1.37,79.0,11,3.4,,0.7,48.4,22,4.8,3.7,100.0,0.5,1.9,"4,940.5",1.1,68,2.1,"-49,997",45.3,66,1
"Iran, Islamic Rep.","89,172,767",0.5,5.0,401.5,58.7,72,9.1,,0.7,6.6,6,0.1,44.6,100.0,0.6,0.4,"4,502.5",0.5,75,7.1,"-39,998",,79,2
Iraq,"45,504,560",0.1,-2.9,250.84,56.3,161,15.5,53,2.2,1.9,29,0.0,5.0,100.0,0.4,-0.7,"5,512.5",0.4,71,3.8,"-6,000",27.4,79,9
Ireland,"5,262,382",0.1,-3.2,545.63,91.3,3,4.3,80,2.6,11.4,23,25.1,6.3,100.0,0.8,-0.4,"103,684.9",0.1,83,6.8,"9,999",46.7,95,0
Isle of Man,"84,710",,3.8,7.93,,,,85,0.2,6.1,,,,100.0,,,"94,124.3",,81,,340,,,0
Israel,"9,756,700",0.2,2.0,509.9,83.3,170,3.4,96,2.1,6.5,24,1.9,4.2,100.0,0.7,4.4,"52,261.7",0.2,83,6.3,"9,999",,90,2
Italy,"58,761,146",0.8,0.9,2.25,91.9,18,7.6,79,-0.3,32.5,32,22.5,5.6,100.0,0.7,3.0,"38,373.2",0.5,83,4.7,"58,496",,85,1
Jamaica,"2,825,544",0.3,2.2,19.42,61.6,12,4.4,,-0.1,55.5,29,7.1,6.5,100.0,0.5,1.9,"6,874.2",19.1,71,2.1,"-10,999",106.3,82,52
Japan,"124,516,650",0.7,1.9,4.21,89.9,18,2.6,99,-0.5,68.4,10,7.8,3.3,100.0,0.8,1.2,"33,834.4",0.1,84,8.0,"99,994",216.2,83,0
